,name,time,train_score,val_score
0,densenet121,11.026944444444444,73.46555555555555,73.94222222222223
1,googlenet,11.166666666666666,69.50666666666666,69.59
2,mobilenet,4.420555555555556,58.163333333333334,58.416666666666664
3,ResNet,3.8394444444444447,74.73555555555555,74.80777777777777
4,resnet50,11.432777777777778,72.33,72.43222222222222
5,resnext,10.275,73.31222222222222,73.66777777777777
6,vgg,4.019444444444445,67.21222222222222,67.40555555555555
